lat	lon	s_PwaveMed	s_PwaveMin	s_PwaveMax	s_PwindMed	s_PwindMin	s_PwindMax
14.5	-95.5	-10.3996	-6.868	606.1315	-1.7709	0.0	7.4392
14.5	-95.0	-4.884	-8.5893	367.3081	-2.611	0.0	4.0784
14.5	-94.5	4.9544	-7.9918	107.4416	-1.5337	0.0	2.9686
14.5	-94.0	12.3162	-9.9473	29.764	-0.7431	0.0	2.3121
14.5	-93.5	13.4271	-10.1696	-57.3792	-0.189	0.0	-3.1221
14.5	-93.0	11.741	-7.0455	62.3872	-0.0352	0.0	-3.9168
14.5	-92.5	11.3888	-3.5382	129.46	-0.0087	0.0	-1.6551
15.0	-120.0	-6.2439	-9.8709	-56.7545	1.0526	-0.0002	0.6172
15.0	-119.5	-8.1113	-9.1789	-48.9	0.9416	0.0027	1.9752
15.0	-119.0	-4.6739	-10.0313	-46.4753	0.8441	-0.0014	5.7059
15.0	-118.5	-3.7583	-4.4638	-27.2138	0.8093	0.0028	8.476
15.0	-118.0	-5.3234	-2.8073	-16.1804	0.7752	0.0024	10.1355
15.0	-117.5	-6.3432	-10.5067	2.3755	0.757	0.0077	10.8472
15.0	-117.0	-7.9994	-8.719	9.2296	0.751	0.0074	13.2159
15.0	-116.5	-10.2551	-14.413	-14.8374	0.7087	0.0029	10.9095
15.0	-116.0	-13.2874	-13.303	-34.9853	0.6082	0.0013	11.6392
15.0	-115.5	-15.0632	-6.1656	-32.4189	0.5075	0.0011	8.344
15.0	-115.0	-15.212	-1.2876	-0.5556	0.4514	0.0027	9.1976
15.0	-114.5	-10.2765	-1.9732	64.0067	0.4143	0.0079	10.629
15.0	-114.0	-11.7732	-9.6076	124.2842	0.3532	-0.0003	9.473
15.0	-113.5	-13.9573	-9.4439	160.3538	0.266	0.0016	7.9662
15.0	-113.0	-15.0507	-7.808	170.7489	0.186	0.0038	3.6077
15.0	-112.5	-15.8397	-7.5922	175.1054	0.1508	0.0025	0.2691
15.0	-112.0	-15.9862	-5.5949	142.3553	0.1468	0.0017	3.1346
15.0	-111.5	-14.1408	-6.6579	115.2248	0.146	0.0005	4.6555
15.0	-111.0	-13.766	-8.4771	79.4736	0.117	0.001	2.21
15.0	-110.5	-13.8823	-8.4664	48.5449	0.0968	0.0001	2.8886
15.0	-110.0	-14.5443	-3.7614	-36.8551	0.1252	0.0002	5.975
15.0	-109.5	-16.2642	-4.6571	-117.6175	0.1168	0.0002	2.7654
15.0	-109.0	-17.854	1.6863	-176.9326	0.105	0.0	-0.5911
15.0	-108.5	-15.4144	-2.7567	-213.4679	0.066	0.0	-3.2151
15.0	-108.0	-13.3814	-3.4836	-260.683	0.0412	0.0	-2.5206
15.0	-107.5	-11.4691	-4.5381	-256.9561	0.0565	0.0	4.2761
15.0	-107.0	-10.0584	-2.5346	-196.7456	0.0682	0.0	2.1389
15.0	-106.5	-9.5601	-1.5354	-218.6387	0.0385	0.0	-4.8161
15.0	-106.0	-7.5563	-4.8249	-208.4941	0.0257	0.0	-11.3863
15.0	-105.5	-7.9281	-6.1153	-242.4165	0.0099	0.0	-10.7602
15.0	-105.0	-9.3436	-7.8256	-198.1252	0.015	0.0	-8.6535
15.0	-104.5	-6.4229	-17.0589	-226.7496	0.0095	0.0	-11.6497
15.0	-104.0	-6.0733	-18.8402	-210.9822	0.014	0.0	-13.1854
15.0	-103.5	-6.355	-20.2359	-153.5214	0.0158	0.0	-12.6197
15.0	-103.0	-6.4519	-16.2815	-115.9599	0.001	0.0	-12.7714
15.0	-102.5	-5.7074	-17.3516	-23.7907	0.0099	0.0	-11.1283
15.0	-102.0	-2.7656	-19.7507	50.7417	0.014	0.0	-3.8707
