lat	lon
20	-92.5
20	-92
20	-91.5
20	-91
20	-87
20	-86.5
20	-86
20	-85.5
20	-85
20.5	-120
20.5	-119.5
20.5	-119
20.5	-118.5
20.5	-118
20.5	-117.5
20.5	-117
20.5	-116.5
20.5	-116
20.5	-115.5
20.5	-115
20.5	-114.5
20.5	-114
20.5	-113.5
20.5	-113
20.5	-112.5
20.5	-112
20.5	-111.5
20.5	-111
20.5	-110.5
20.5	-110
20.5	-109.5
20.5	-109
20.5	-108.5
20.5	-108
20.5	-107.5
20.5	-107
20.5	-106.5
20.5	-106
20.5	-105.5
20.5	-96.5
20.5	-96
20.5	-95.5
20.5	-95
20.5	-94.5
20.5	-94
20.5	-93.5
20.5	-93
20.5	-92.5
20.5	-92
20.5	-91.5
20.5	-91
20.5	-87
20.5	-86.5
20.5	-86
20.5	-85.5
20.5	-85
21	-120
21	-119.5
21	-119
21	-118.5
21	-118
21	-117.5
21	-117
21	-116.5
21	-116
21	-115.5
21	-115
21	-114.5
21	-114
21	-113.5
21	-113
21	-112.5
21	-112
21	-111.5
21	-111
21	-110.5
21	-110
21	-109.5
21	-109
21	-108.5
21	-108
21	-107.5
21	-107
21	-106.5
21	-106
21	-105.5
21	-97
21	-96.5
21	-96
21	-95.5
21	-95
21	-94.5
21	-94
21	-93.5
21	-93
21	-92.5
21	-92
21	-91.5
21	-91
21	-90.5
21	-86.5
21	-86
21	-85.5
21	-85
21.5	-120
21.5	-119.5
21.5	-119
21.5	-118.5
21.5	-118
21.5	-117.5
21.5	-117
21.5	-116.5
21.5	-116
21.5	-115.5
21.5	-115
21.5	-114.5
21.5	-114
21.5	-113.5
21.5	-113
21.5	-112.5
21.5	-112
21.5	-111.5
21.5	-111
21.5	-110.5
21.5	-110
21.5	-109.5
21.5	-109
21.5	-108.5
21.5	-108
21.5	-107.5
21.5	-107
21.5	-106.5
21.5	-106
21.5	-105.5
21.5	-97.5
21.5	-97
21.5	-96.5
21.5	-96
21.5	-95.5
21.5	-95
21.5	-94.5
21.5	-94
21.5	-93.5
21.5	-93
21.5	-92.5
21.5	-92
21.5	-91.5
21.5	-91
21.5	-90.5
21.5	-90
21.5	-89.5
21.5	-89
21.5	-87.5
21.5	-86.5
21.5	-86
21.5	-85.5
21.5	-85
22	-120
22	-119.5
22	-119
22	-118.5
22	-118
22	-117.5
22	-117
22	-116.5
22	-116
22	-115.5
22	-115
22	-114.5
22	-114
