lat	lon	PwaveProm	PwaveS	PwaveCV	PwaveMed	PwaveMax	PwaveMin	PwindProm	PwindS	PwindCV	PwindMed	PwindMax	PwindMin
29.5	-116.0	20.1027	15.17	75.47	14.6974	99.9455	3.1597	0.1771	0.2	112.7	0.1249	1.4529	0.0

29.5	-115.5	11.5407	8.48	73.5	8.5705	59.9843	1.8199	0.1013	0.14	142.63	0.0552	1.0412	0.0

29.5	-113.0	1.8012	3.5	194.46	0.5337	27.2179	0.0081	0.1766	0.23	128.14	0.0918	1.6601	0.0

29.5	-112.5	1.1624	2.17	186.52	0.3773	19.1942	0.0065	0.0769	0.11	141.76	0.0353	1.0237	0.0

29.5	-94.0	1.4777	1.85	125.04	0.7894	13.7449	0.0071	0.2053	0.26	126.58	0.1202	1.8641	0.0

29.5	-93.5	1.7837	2.28	127.75	0.9101	18.7854	0.0145	0.2344	0.29	125.15	0.1419	2.0961	0.0

29.5	-93.0	1.5768	2.03	128.65	0.7926	16.9866	0.0176	0.2117	0.27	127.35	0.1206	1.9243	0.0

29.5	-92.5	0.9955	1.23	123.89	0.5158	9.2058	0.0166	0.1185	0.15	127.39	0.0653	1.0654	0.0

29.5	-92.0	0.9136	1.4	152.74	0.4378	13.0335	0.0193	0.1343	0.18	135.4	0.0728	1.4047	0.0

29.5	-89.0	2.6658	3.72	139.52	1.2714	27.5231	0.021	0.2216	0.29	131.64	0.112	3.2273	0.0

29.5	-88.5	3.9076	5.62	143.85	1.7828	34.7988	0.049	0.2456	0.31	125.61	0.125	2.2767	0.0

29.5	-88.0	4.3002	6.32	146.93	1.851	47.4034	0.0552	0.2589	0.32	124.95	0.1305	2.0054	0.0

29.5	-87.5	4.387	6.49	147.94	1.9114	56.3113	0.063	0.2672	0.33	122.14	0.1406	1.9618	0.0

29.5	-87.0	4.345	6.41	147.5	1.8961	64.3565	0.0682	0.2711	0.33	120.83	0.1453	2.7985	0.0

29.5	-86.5	4.1583	6.08	146.26	1.8798	64.6268	0.0807	0.2837	0.35	123.83	0.1538	4.3574	0.0

29.5	-86.0	3.6856	5.34	144.79	1.7096	52.8632	0.0762	0.2771	0.34	121.53	0.1539	3.6988	0.0

29.5	-85.5	2.7928	4.08	146.16	1.3729	38.4997	0.0486	0.2326	0.28	119.19	0.1314	2.6832	0.0

29.5	-85.0	2.0173	3.11	154.06	1.068	34.7254	0.0349	0.2106	0.24	115.78	0.125	2.2096	0.0

30.0	-120.0	32.3048	26.74	82.77	22.1708	130.4302	5.5887	0.1878	0.23	124.0	0.102	1.5368	0.0

30.0	-119.5	30.965	25.64	82.81	21.2054	123.5216	5.227	0.1759	0.22	126.25	0.0919	1.5319	0.0

30.0	-119.0	29.5104	24.35	82.52	20.1177	123.6551	4.9638	0.1632	0.21	129.12	0.0864	1.6204	0.0

30.0	-118.5	27.7753	23.01	82.83	18.6261	122.8431	4.7017	0.1548	0.2	129.91	0.0859	1.5741	0.0

30.0	-118.0	26.0393	21.55	82.77	17.3436	117.5308	4.3819	0.147	0.19	129.62	0.0805	1.5757	0.0

30.0	-117.5	25.1172	20.08	79.94	17.1302	111.0024	4.1354	0.1391	0.18	129.48	0.078	1.6356	0.0

30.0	-117.0	23.8132	18.56	77.95	16.7342	103.8847	3.8613	0.1399	0.18	125.4	0.0838	1.4801	0.0

30.0	-116.5	21.5175	16.53	76.81	15.2664	98.9623	3.4537	0.1338	0.17	126.97	0.0803	1.5366	0.0

30.0	-116.0	15.6188	11.88	76.09	11.1528	76.1321	2.6568	0.1209	0.16	131.56	0.0726	1.2041	0.0

