lat	lon	cMin	cMed	cMax
20.0	-91.0	7	1	4
20.0	-87.0	7	1	4
20.0	-86.5	7	1	1
20.0	-86.0	7	1	1
20.0	-85.5	7	1	1
20.0	-85.0	7	1	1
20.5	-120.0	3	2	5
20.5	-119.5	3	2	5
20.5	-119.0	1	2	5
20.5	-118.5	5	2	5
20.5	-118.0	5	2	5
20.5	-117.5	1	2	2
20.5	-117.0	1	2	2
20.5	-116.5	1	2	2
20.5	-116.0	1	2	2
20.5	-115.5	1	2	2
20.5	-115.0	1	2	2
20.5	-114.5	1	2	2
20.5	-114.0	1	2	2
20.5	-113.5	1	2	2
20.5	-113.0	1	2	2
20.5	-112.5	1	2	2
20.5	-112.0	1	2	2
20.5	-111.5	1	2	2
20.5	-111.0	4	2	2
20.5	-110.5	4	2	2
20.5	-110.0	4	2	2
20.5	-109.5	4	2	2
20.5	-109.0	4	2	2
20.5	-108.5	4	2	5
20.5	-108.0	1	1	5
20.5	-107.5	1	1	5
20.5	-107.0	4	1	5
20.5	-106.5	1	1	5
20.5	-106.0	1	1	5
20.5	-105.5	4	1	5
20.5	-96.5	7	1	1
20.5	-96.0	7	1	1
20.5	-95.5	7	1	1
20.5	-95.0	7	1	4
20.5	-94.5	7	1	4
20.5	-94.0	7	1	4
20.5	-93.5	7	1	4
20.5	-93.0	7	1	4
20.5	-92.5	7	1	4
20.5	-92.0	7	1	4
20.5	-91.5	7	1	4
20.5	-91.0	7	1	4
20.5	-87.0	7	1	4
20.5	-86.5	7	1	4
20.5	-86.0	7	1	4
20.5	-85.5	7	1	4
20.5	-85.0	7	1	1
21.0	-120.0	3	2	3
21.0	-119.5	3	2	3
21.0	-119.0	3	2	3
21.0	-118.5	5	2	2
21.0	-118.0	5	2	2
21.0	-117.5	5	2	2
21.0	-117.0	1	2	2
21.0	-116.5	1	2	2
21.0	-116.0	1	2	2
21.0	-115.5	1	2	2
21.0	-115.0	1	2	2
21.0	-114.5	1	2	2
21.0	-114.0	1	2	2
21.0	-113.5	1	2	2
21.0	-113.0	1	2	2
21.0	-112.5	1	2	2
21.0	-112.0	1	2	2
21.0	-111.5	1	2	2
21.0	-111.0	5	2	2
21.0	-110.5	4	2	2
21.0	-110.0	4	2	2
21.0	-109.5	4	2	2
21.0	-109.0	4	2	2
21.0	-108.5	4	2	2
21.0	-108.0	4	1	5
21.0	-107.5	4	1	5
21.0	-107.0	4	1	5
21.0	-106.5	1	1	5
21.0	-106.0	1	1	2
21.0	-105.5	4	1	2
21.0	-97.0	7	1	4
21.0	-96.5	7	1	1
21.0	-96.0	7	1	1
21.0	-95.5	7	1	1
21.0	-95.0	7	1	1
21.0	-94.5	7	1	1
21.0	-94.0	7	1	1
21.0	-93.5	7	1	1
21.0	-93.0	7	1	4
21.0	-92.5	7	1	4
21.0	-92.0	7	1	4
21.0	-91.5	7	1	4
21.0	-91.0	7	1	4
21.0	-90.5	7	1	4
21.0	-86.5	7	1	4
21.0	-86.0	7	1	4
21.0	-85.5	7	1	4
21.0	-85.0	7	1	4
21.5	-120.0	3	2	3
21.5	-119.5	5	2	3
21.5	-119.0	3	2	3
21.5	-118.5	3	2	2
21.5	-118.0	3	2	2
21.5	-117.5	1	2	2
21.5	-117.0	1	2	2
21.5	-116.5	1	2	2
21.5	-116.0	1	2	2
21.5	-115.5	1	2	2
21.5	-115.0	1	2	2
21.5	-114.5	1	2	2
21.5	-114.0	1	2	2
21.5	-113.5	1	2	2
21.5	-113.0	1	2	2
21.5	-112.5	1	2	2
21.5	-112.0	1	2	2
21.5	-111.5	1	2	2
21.5	-111.0	5	2	2
21.5	-110.5	4	2	2
21.5	-110.0	4	2	2
21.5	-109.5	4	2	2
21.5	-109.0	4	1	2
21.5	-108.5	5	1	2
21.5	-108.0	4	1	5
21.5	-107.5	4	1	5
21.5	-107.0	4	1	5
21.5	-106.5	1	1	5
21.5	-106.0	1	1	2
21.5	-105.5	1	1	2
21.5	-97.5	7	1	4
21.5	-97.0	7	1	4
21.5	-96.5	7	1	1
21.5	-96.0	7	1	1
21.5	-95.5	7	1	1
21.5	-95.0	7	1	1
21.5	-94.5	7	1	1
21.5	-94.0	7	1	1
21.5	-93.5	7	1	1
21.5	-93.0	7	1	1
21.5	-92.5	7	1	1
21.5	-92.0	7	1	4
21.5	-91.5	7	1	4
21.5	-91.0	7	1	4
21.5	-90.5	7	1	4
21.5	-90.0	7	1	4
21.5	-89.5	7	1	4
21.5	-89.0	7	1	4
21.5	-87.5	7	1	4
21.5	-86.5	7	1	4
21.5	-86.0	7	1	4
21.5	-85.5	7	1	4
21.5	-85.0	7	1	4
22.0	-120.0	5	2	3
22.0	-119.5	5	2	3
22.0	-119.0	5	2	3
22.0	-118.5	5	2	3
22.0	-118.0	1	2	2
22.0	-117.5	1	2	2
22.0	-117.0	1	2	2
22.0	-116.5	1	2	2
22.0	-116.0	1	2	2
22.0	-115.5	1	2	2
22.0	-115.0	1	2	2
22.0	-114.5	1	2	2
22.0	-114.0	1	2	2
22.0	-113.5	1	2	2
22.0	-113.0	1	2	2
22.0	-112.5	1	2	2
22.0	-112.0	1	2	2
22.0	-111.5	5	2	2
22.0	-111.0	5	2	2
22.0	-110.5	4	2	2
22.0	-110.0	4	2	2
22.0	-109.5	5	2	2
22.0	-109.0	5	1	2
22.0	-108.5	5	1	2
22.0	-108.0	4	1	5
22.0	-107.5	4	1	5
22.0	-107.0	5	1	5
22.0	-106.5	5	1	2
22.0	-106.0	1	1	2
22.0	-97.5	7	1	4
22.0	-97.0	7	1	1
22.0	-96.5	7	1	1
22.0	-96.0	7	1	1
22.0	-95.5	7	1	1
22.0	-95.0	7	1	1
22.0	-94.5	7	1	1
22.0	-94.0	7	1	1
22.0	-93.5	7	1	1
22.0	-93.0	7	1	1
22.0	-92.5	7	1	1
22.0	-92.0	7	1	1
22.0	-91.5	7	1	4
22.0	-91.0	7	1	4
22.0	-90.5	7	1	4
